Date,Open,High,Low,Close,Volume
08/01/2016 16:00:00,36.92,37,36.23,36.3,8229543
11/01/2016 16:00:00,36.59,36.59,35.92,36.26,6296024
12/01/2016 16:00:00,36.44,36.63,36.03,36.29,7252925
13/01/2016 16:00:00,36.73,36.77,35.81,35.9,8054381
14/01/2016 16:00:00,35.91,36.45,35.67,36.36,8974538
15/01/2016 16:00:00,34.97,35.14,34.46,34.86,8378232
19/01/2016 16:00:00,35.79,35.79,35.18,35.44,6732290
20/01/2016 16:00:00,34.62,34.93,33.91,34.69,9857802
21/01/2016 16:00:00,34.76,35.26,34.44,34.85,7856633
22/01/2016 16:00:00,35.84,35.94,35.6,35.94,13047303
25/01/2016 16:00:00,35.71,35.84,35.33,35.36,6726364
26/01/2016 16:00:00,35.53,35.9,35.48,35.83,4285831
27/01/2016 16:00:00,35.81,36.18,35.45,35.68,6207731
28/01/2016 16:00:00,36.29,36.38,35.92,36.21,7631179
29/01/2016 16:00:00,36.78,37.35,36.66,37.34,7764150
01/02/2016 16:00:00,36.84,37.09,36.64,37.02,5276724
02/02/2016 16:00:00,36.44,36.46,35.82,35.91,7342660
03/02/2016 16:00:00,36.29,36.87,35.66,36.83,12832258
04/02/2016 16:00:00,37.1,37.5,36.85,37.05,9343438
05/02/2016 16:00:00,37.02,37.03,36.5,36.65,6399702
08/02/2016 16:00:00,36.21,36.31,35.74,36.18,8285118
09/02/2016 16:00:00,35.6,36.07,35.34,35.68,8753245
10/02/2016 16:00:00,36.13,36.48,35.83,35.83,9542251
11/02/2016 16:00:00,35.13,35.47,34.97,35.27,9592357
12/02/2016 16:00:00,35.47,35.8,35.32,35.79,4981932
16/02/2016 16:00:00,36.46,36.57,36.26,36.53,6888966
17/02/2016 16:00:00,36.74,37.32,36.74,37.25,5428764
18/02/2016 16:00:00,37.33,37.34,36.93,37.02,4327261
19/02/2016 16:00:00,36.81,37.05,36.7,36.87,4017627
22/02/2016 16:00:00,37.47,37.77,37.41,37.76,4645439
23/02/2016 16:00:00,37.48,37.49,36.95,36.99,3547833
24/02/2016 16:00:00,36.41,37.06,36.24,36.93,4996954
25/02/2016 16:00:00,36.82,37.08,36.61,37.05,5228455
26/02/2016 16:00:00,37.25,37.26,36.65,36.68,4238417
29/02/2016 16:00:00,37.07,37.32,36.97,36.98,7779501
01/03/2016 16:00:00,37.76,38.31,37.63,38.3,4321080
02/03/2016 16:00:00,38.28,38.78,38.24,38.78,5338009
03/03/2016 16:00:00,38.77,39.17,38.72,39.16,3624761
04/03/2016 16:00:00,39.55,40.1,39.46,39.94,7831534
07/03/2016 16:00:00,39.55,40.05,39.52,39.85,4727820
08/03/2016 16:00:00,39.39,39.46,39.07,39.22,6104502
09/03/2016 16:00:00,39.41,39.68,39.35,39.43,4582142
10/03/2016 16:00:00,39.67,39.75,38.98,39.52,6019402
11/03/2016 16:00:00,40.06,40.41,40.05,40.38,3771806
14/03/2016 16:00:00,40.2,40.31,39.98,40.09,3141847
15/03/2016 16:00:00,39.5,39.53,39.31,39.52,2298355
16/03/2016 16:00:00,39.22,40.39,39.15,40.3,4700393
17/03/2016 16:00:00,40.78,41.23,40.61,41.16,3778805
18/03/2016 16:00:00,41.36,41.5,41.27,41.29,4202037
21/03/2016 16:00:00,41.26,41.51,41.25,41.45,2636273
22/03/2016 16:00:00,41.14,41.52,41.08,41.35,3572179
23/03/2016 16:00:00,41.04,41.04,40.64,40.65,4143715
24/03/2016 16:00:00,40.35,40.59,40.16,40.57,3272281
28/03/2016 16:00:00,40.63,40.72,40.52,40.72,2133207
29/03/2016 16:00:00,40.5,41.25,40.39,41.22,2537148
30/03/2016 16:00:00,41.84,42.01,41.65,41.68,3197376
31/03/2016 16:00:00,41.87,41.94,41.55,41.62,4879066
01/04/2016 16:00:00,40.84,41.6,40.69,41.54,6531599
04/04/2016 16:00:00,41.51,41.53,41.05,41.1,3092868
05/04/2016 16:00:00,40.51,40.6,40.26,40.33,4394504
06/04/2016 16:00:00,40.28,40.85,40.14,40.85,4868518
07/04/2016 16:00:00,40.36,40.38,39.95,40.07,3770711
08/04/2016 16:00:00,40.91,40.96,40.62,40.71,3271081
11/04/2016 16:00:00,41.33,41.51,41.19,41.2,4374570
12/04/2016 16:00:00,41.4,41.94,41.2,41.83,6323781
13/04/2016 16:00:00,42.43,42.53,42.28,42.52,6655677
14/04/2016 16:00:00,42.45,42.46,42.26,42.34,5362891
15/04/2016 16:00:00,42.25,42.32,42.1,42.12,3320937
18/04/2016 16:00:00,41.99,42.49,41.89,42.32,5618712
19/04/2016 16:00:00,42.68,43.03,42.68,42.97,5783530
20/04/2016 16:00:00,42.6,42.94,42.46,42.74,4691255
21/04/2016 16:00:00,42.63,42.63,42.23,42.3,3531275
22/04/2016 16:00:00,42.16,42.41,42.01,42.08,4766588
25/04/2016 16:00:00,42.03,42.04,41.77,41.85,3176557
26/04/2016 16:00:00,42.15,42.25,42.01,42.23,4556563
27/04/2016 16:00:00,42.09,42.53,41.96,42.45,3735454
28/04/2016 16:00:00,42.06,42.4,41.97,42.07,2749884
29/04/2016 16:00:00,41.95,42.09,41.56,41.9,4567999
02/05/2016 16:00:00,41.88,41.9,41.6,41.8,6434120
03/05/2016 16:00:00,41.1,41.13,40.67,40.72,6784276
04/05/2016 16:00:00,40.5,40.51,40.07,40.13,6120285
05/05/2016 16:00:00,40.47,40.55,40,40.12,4341092
06/05/2016 16:00:00,39.98,40.31,39.92,40.19,3348966
09/05/2016 16:00:00,40.1,40.1,39.55,39.63,3788686
10/05/2016 16:00:00,40.09,40.43,40.02,40.42,5269877
11/05/2016 16:00:00,40.35,40.58,40.23,40.33,3660163
12/05/2016 16:00:00,40.55,40.57,40.07,40.21,4056902
13/05/2016 16:00:00,39.91,40.05,39.43,39.52,3169142
