Date,Open,High,Low,Close,Volume
08/01/2016 16:00:00,47.64,47.64,46.66,46.75,7418536
11/01/2016 16:00:00,47.24,47.26,46.52,46.89,6073211
12/01/2016 16:00:00,47.39,47.44,46.83,47.28,5588733
13/01/2016 16:00:00,47.48,47.57,46.31,46.38,6787819
14/01/2016 16:00:00,46.53,47.17,46.22,46.98,12323809
15/01/2016 16:00:00,45.47,45.76,45.04,45.26,8674873
19/01/2016 16:00:00,45.88,45.9,45.25,45.56,8381249
20/01/2016 16:00:00,44.76,44.88,43.8,44.62,12231244
21/01/2016 16:00:00,44.51,45.29,44.18,45.08,8103915
22/01/2016 16:00:00,46.17,46.39,45.94,46.27,6002513
25/01/2016 16:00:00,45.97,46.12,45.67,45.67,6850725
26/01/2016 16:00:00,45.98,46.66,45.98,46.66,4834599
27/01/2016 16:00:00,46.45,46.9,46.1,46.24,6301833
28/01/2016 16:00:00,46.67,46.73,45.96,46.37,4536046
29/01/2016 16:00:00,46.38,47.11,46.38,47.11,6472820
01/02/2016 16:00:00,46.68,47.22,46.55,47.07,3540718
02/02/2016 16:00:00,46.27,46.3,45.71,45.78,6364053
03/02/2016 16:00:00,46.29,46.53,45.51,46.51,8670377
04/02/2016 16:00:00,46.16,46.66,46.02,46.49,7679320
05/02/2016 16:00:00,46.35,46.43,45.68,45.82,7394634
08/02/2016 16:00:00,44.69,44.73,44.2,44.58,7570599
09/02/2016 16:00:00,43.72,44.41,43.66,44.19,8549511
10/02/2016 16:00:00,44.62,44.89,44.38,44.44,5419396
11/02/2016 16:00:00,43.93,44.07,43.47,43.85,16143017
12/02/2016 16:00:00,44.08,44.63,43.94,44.63,5007225
16/02/2016 16:00:00,45.43,45.43,44.87,45.39,6632654
17/02/2016 16:00:00,45.92,46.44,45.85,46.34,11926147
18/02/2016 16:00:00,46.44,46.45,46.01,46.07,4457021
19/02/2016 16:00:00,45.75,46.08,45.57,46.06,2542432
22/02/2016 16:00:00,46.12,46.38,46.1,46.3,3481108
23/02/2016 16:00:00,46.08,46.12,45.49,45.49,3024610
24/02/2016 16:00:00,44.66,45.35,44.47,45.29,3441297
25/02/2016 16:00:00,45.6,45.93,45.38,45.91,7471509
26/02/2016 16:00:00,46.08,46.15,45.69,45.76,3050684
29/02/2016 16:00:00,45.78,46.05,45.57,45.59,3027416
01/03/2016 16:00:00,46.33,46.89,46.22,46.86,4052299
02/03/2016 16:00:00,46.54,46.94,46.38,46.91,3617410
03/03/2016 16:00:00,46.96,47.43,46.91,47.4,4051599
04/03/2016 16:00:00,47.62,47.88,47.54,47.62,6941590
07/03/2016 16:00:00,47.1,47.79,47.08,47.65,3593364
08/03/2016 16:00:00,47.51,47.51,47.09,47.11,7540630
09/03/2016 16:00:00,47.31,47.46,47.16,47.32,3496190
10/03/2016 16:00:00,47.75,48.11,46.93,47.35,16572803
11/03/2016 16:00:00,48.17,48.63,48.14,48.63,3618494
14/03/2016 16:00:00,48.48,48.64,48.39,48.5,2461248
15/03/2016 16:00:00,47.76,47.85,47.66,47.8,2182232
16/03/2016 16:00:00,47.46,48.39,47.46,48.38,3805534
17/03/2016 16:00:00,48.41,48.87,48.25,48.81,544977
18/03/2016 16:00:00,48.82,48.94,48.65,48.76,3682248
21/03/2016 16:00:00,48.57,48.68,48.44,48.54,2543145
22/03/2016 16:00:00,47.98,48.4,47.91,48.28,3331432
23/03/2016 16:00:00,48.27,48.29,47.86,47.88,2333149
24/03/2016 16:00:00,47.37,47.58,47.25,47.55,3243852
28/03/2016 16:00:00,47.77,47.88,47.62,47.8,2828486
29/03/2016 16:00:00,47.57,48.43,47.46,48.43,6574762
30/03/2016 16:00:00,48.98,49.21,48.81,48.91,3819046
31/03/2016 16:00:00,48.77,48.89,48.51,48.52,4202567
01/04/2016 16:00:00,47.68,48.24,47.63,48.18,5836189
04/04/2016 16:00:00,48.35,48.44,48.11,48.17,2722856
05/04/2016 16:00:00,47.41,47.45,47.23,47.28,3852311
06/04/2016 16:00:00,47.38,48.03,47.34,48.03,4143364
07/04/2016 16:00:00,47.46,47.6,47.04,47.15,6965710
08/04/2016 16:00:00,47.92,48.08,47.82,47.98,4074164
11/04/2016 16:00:00,48.35,48.57,48.05,48.05,5753563
12/04/2016 16:00:00,48.19,48.65,47.9,48.6,6615261
13/04/2016 16:00:00,49.07,49.24,48.95,49.17,3786802
14/04/2016 16:00:00,49.31,49.32,49.09,49.18,2336503
15/04/2016 16:00:00,49.14,49.25,49.05,49.05,4148418
18/04/2016 16:00:00,49.04,49.57,49.01,49.52,2004186
19/04/2016 16:00:00,50.26,50.5,50.2,50.43,3431089
20/04/2016 16:00:00,50.31,50.55,50.21,50.33,5198540
21/04/2016 16:00:00,50.25,50.27,49.85,49.94,3854445
22/04/2016 16:00:00,49.79,49.94,49.65,49.84,2282368
