Date,Open,High,Low,Close,Volume
08/01/2016 17:40:00,58.38,58.38,56.86,56.86,59326
11/01/2016 17:40:00,57.11,57.3,56.54,56.54,34050
12/01/2016 17:40:00,56.51,57.58,56.51,57,8065
13/01/2016 17:40:00,58,58,57.19,57.29,4454
14/01/2016 17:40:00,56.74,56.74,55.51,56.33,13195
15/01/2016 17:40:00,56.68,56.68,54.64,54.9,14507
18/01/2016 17:40:00,55.78,55.78,55,55.15,3982
19/01/2016 17:40:00,55.85,56.3,55.44,55.6,6749
20/01/2016 17:40:00,54.4,54.4,53.5,53.8,23530
21/01/2016 17:40:00,53.83,55.29,53.82,55.08,13691
22/01/2016 17:40:00,55.78,56.58,55.76,56.21,13603
25/01/2016 17:40:00,56.67,56.67,55.88,56.02,15513
26/01/2016 17:40:00,55.06,56.29,55,56.07,29265
27/01/2016 17:40:00,56.06,56.29,55.8,56.29,31158
28/01/2016 17:40:00,56.19,56.21,55.38,55.43,23808
29/01/2016 17:40:00,56.5,57.07,56.12,57.07,79631
01/02/2016 17:40:00,57.5,57.5,56.68,57.03,30319
02/02/2016 17:40:00,57.04,57.04,55.99,56.28,932
03/02/2016 17:40:00,56.08,56.11,54.3,54.86,11660
04/02/2016 17:40:00,55.7,55.7,54.6,55.01,31435
05/02/2016 17:40:00,54.99,55.29,54.64,54.64,106170
08/02/2016 17:40:00,54.78,54.78,53,53.11,30911
09/02/2016 17:40:00,53.65,53.65,52.08,52.39,12022
10/02/2016 17:40:00,52.55,53.41,52.47,53.09,4102
11/02/2016 17:40:00,52.55,52.55,51.08,51.08,25750
12/02/2016 17:40:00,51.67,52.81,51.67,52.81,7210
15/02/2016 17:40:00,53.93,54.37,53.62,54.24,12763
16/02/2016 17:40:00,54.81,54.81,53.98,54.13,8638
17/02/2016 17:40:00,54.41,55.4,54.24,55.4,5998
18/02/2016 17:40:00,55.55,55.97,55.34,55.51,4207
19/02/2016 17:40:00,55.66,55.66,54.87,55.21,3125
22/02/2016 17:40:00,55.56,56.6,55.56,56.4,9309
23/02/2016 17:40:00,56.35,56.36,55.75,55.75,5851
24/02/2016 17:40:00,55.67,55.67,54.7,54.75,41510
25/02/2016 17:40:00,55.71,56,55.62,55.77,3497
26/02/2016 17:40:00,56.57,57.04,56.57,56.84,1264
29/02/2016 17:40:00,56.24,57.21,56.1,57.21,3087
01/03/2016 17:40:00,57.03,57.81,57.03,57.76,8262
02/03/2016 17:40:00,58.4,58.47,58.13,58.43,7732
03/03/2016 17:40:00,58.69,58.69,58.17,58.17,4489
04/03/2016 17:40:00,58.85,59,58.11,58.65,12348
07/03/2016 17:40:00,58.64,58.64,58.33,58.58,9361
08/03/2016 17:40:00,58.25,58.25,57.75,57.88,7543
09/03/2016 17:40:00,58.12,58.38,58.12,58.19,7710
10/03/2016 17:40:00,58.38,59.75,56.91,56.91,21334
11/03/2016 17:40:00,58,58.48,58,58.35,3558
14/03/2016 17:40:00,58.92,58.92,58.49,58.67,2970
15/03/2016 17:40:00,58.18,58.42,58.06,58.12,4386
16/03/2016 17:40:00,58.53,58.53,58.15,58.37,1436
17/03/2016 17:40:00,58.19,58.19,57.33,57.93,1277
18/03/2016 17:40:00,58.39,58.39,58.21,58.3,232
21/03/2016 17:40:00,58.3,58.53,58.2,58.37,3099
22/03/2016 17:40:00,58.63,58.64,58.25,58.64,3035
23/03/2016 17:40:00,58.86,58.86,58.24,58.49,3233
24/03/2016 17:40:00,58.15,58.15,57.82,57.82,3080
29/03/2016 17:40:00,58.6,58.6,57.8,58.03,5252
30/03/2016 17:40:00,58.5,58.65,58.41,58.41,3126
31/03/2016 17:40:00,58.66,58.66,57.95,58.04,3971
01/04/2016 17:40:00,57.79,57.79,57,57.65,8001
04/04/2016 17:40:00,58.16,58.16,57.65,57.75,4867
05/04/2016 17:40:00,57.6,57.6,56.89,56.9,4422
06/04/2016 17:40:00,57.46,57.46,56.8,57.15,3832
07/04/2016 17:40:00,57.04,57.34,56.87,56.89,3960
08/04/2016 17:40:00,57.39,57.59,57.31,57.31,4902
11/04/2016 17:40:00,57.2,57.68,57.06,57.36,5661
12/04/2016 17:40:00,57.4,57.82,57.06,57.82,1461
13/04/2016 17:40:00,58.43,59.19,58.43,59.19,4101
14/04/2016 17:40:00,59.31,59.52,59.26,59.52,4759
15/04/2016 17:40:00,59.41,59.55,59.11,59.25,16994
18/04/2016 17:40:00,59.09,59.36,58.8,59.27,1711
19/04/2016 17:40:00,59.56,59.8,59.45,59.66,3994
20/04/2016 17:40:00,59.7,60.01,59.48,60.01,1704
21/04/2016 17:40:00,59.99,60.16,59.67,59.89,5551
22/04/2016 17:40:00,60.27,60.27,59.78,59.94,1615
25/04/2016 17:40:00,60.11,60.11,59.51,59.6,2682
26/04/2016 17:40:00,59.79,59.8,59.5,59.59,2357
